Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
SG,26.0,0.45899999999999996,0.39299999999999996,0.506,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3
SF,11.8,0.406,0.265,0.5329999999999999,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8
PG,22.0,0.413,0.24100000000000002,0.45299999999999996,0.8290000000000001,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9
PG,16.1,0.401,0.35700000000000004,0.43,0.7659999999999999,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1
SG,32.2,0.42,0.359,0.47200000000000003,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5
C,16.7,0.5479999999999999,0.0,0.5479999999999999,0.53,2.0,3.6,5.6,0.7,0.4,1.1,0.8,2.0,7.0
SG,36.1,0.444,0.396,0.466,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2
SF,2.0,0.5,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.0,2.0
PF,21.3,0.42700000000000005,0.39299999999999996,0.47600000000000003,0.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2.0,12.2
SG,26.1,0.376,0.332,0.44799999999999995,0.7390000000000001,0.6,3.2,3.8,1.8,1.0,0.8,0.9,1.8,7.2
PF,15.3,0.46799999999999997,0.392,0.523,0.794,0.7,2.0,2.7,1.0,0.3,0.2,0.6,1.4,6.2
PG,13.9,0.374,0.295,0.519,0.875,0.6,1.3,1.9,2.2,0.9,0.0,0.8,1.4,2.5
PG,24.1,0.359,0.0,0.41200000000000003,0.75,1.1,2.4,3.6,3.0,1.3,0.4,1.3,1.7,4.4
SG,3.5,0.263,0.111,0.4,0.75,0.0,0.3,0.3,0.1,0.0,0.0,0.3,0.1,1.2
PF,12.9,0.447,0.0,0.44799999999999995,0.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3
SG,17.5,0.402,0.35600000000000004,0.504,0.818,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,5.9
C,11.6,0.43200000000000005,0.387,0.439,0.825,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,7.1
SF,10.4,0.424,0.16699999999999998,0.537,0.833,0.3,1.0,1.3,0.6,0.5,0.1,0.2,1.1,3.7
C,21.1,0.41,0.337,0.455,0.73,0.9,3.3,4.1,1.2,0.5,0.5,0.7,1.6,7.5
SG,7.3,0.39399999999999996,0.391,0.395,0.75,0.0,0.5,0.5,0.4,0.4,0.1,0.1,0.7,3.0
PF,23.6,0.435,0.282,0.45799999999999996,0.64,2.4,5.9,8.3,2.3,0.9,0.6,1.3,2.6,10.3
SF,31.0,0.41100000000000003,0.33,0.455,0.746,2.0,4.2,6.2,2.2,1.3,0.2,1.4,2.5,8.0
SG,19.1,0.33899999999999997,0.325,0.363,0.8290000000000001,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3
PG,10.9,0.33799999999999997,0.327,0.35100000000000003,0.733,0.2,0.8,1.0,1.8,0.4,0.0,0.8,0.7,3.7
PF,10.9,0.5710000000000001,0.0,0.5710000000000001,0.545,1.3,1.9,3.1,0.3,0.2,0.8,0.4,1.2,4.7
SF,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0
C,14.6,0.47600000000000003,0.0,0.478,0.8390000000000001,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6.0
SG,38.1,0.439,0.359,0.494,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0
C,31.3,0.51,0.222,0.512,0.753,2.7,6.2,8.9,2.8,0.8,1.1,1.9,2.7,18.2
PG,19.5,0.536,0.16699999999999998,0.5479999999999999,0.86,0.5,1.6,2.2,3.0,0.7,0.3,1.0,1.8,6.3
SG,14.6,0.386,0.34299999999999997,0.423,0.73,0.2,1.5,1.7,1.1,0.6,0.4,0.7,1.2,4.5
C,30.0,0.508,0.16699999999999998,0.511,0.6859999999999999,2.3,4.7,7.0,1.2,0.4,1.2,2.3,2.6,17.5
SG,3.0,0.25,0.25,0.0,0.0,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.2,0.6
C,13.2,0.431,0.0,0.43700000000000006,0.889,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,4.1
PG,21.6,0.44,0.384,0.462,0.75,0.3,2.6,2.8,4.4,0.5,0.1,1.3,1.2,7.0
SG,25.3,0.45799999999999996,0.35700000000000004,0.46799999999999997,0.652,1.6,3.0,4.6,1.1,1.7,0.3,1.2,2.7,8.4
C,20.2,0.455,0.405,0.486,0.75,1.0,3.0,4.1,1.5,0.8,0.5,1.1,2.4,10.0
PF,9.1,0.33299999999999996,0.0,0.33299999999999996,0.33299999999999996,2.4,1.1,3.5,0.3,0.1,0.6,0.0,1.5,2.8
SF,18.2,0.522,0.33299999999999996,0.531,0.7759999999999999,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2.0,12.8
PG,27.4,0.406,0.282,0.46299999999999997,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5
SF,15.9,0.442,0.222,0.496,0.6559999999999999,0.6,2.0,2.6,0.6,0.3,0.5,1.0,1.9,5.1
PG,32.1,0.391,0.304,0.426,0.893,0.3,4.0,4.3,7.4,1.1,0.2,2.9,2.4,12.8
SG,26.6,0.371,0.321,0.42100000000000004,0.775,0.3,2.2,2.6,2.9,1.2,0.2,1.8,3.1,7.8
PF,21.7,0.452,0.385,0.473,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5
PF,15.1,0.42100000000000004,0.239,0.457,0.745,1.2,2.7,3.9,0.4,0.3,0.3,0.6,1.9,3.6
PG,16.6,0.39399999999999996,0.22,0.45399999999999996,0.78,0.3,1.6,1.9,2.3,0.7,0.1,1.1,1.3,5.6
C,10.9,0.575,0.0,0.579,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1
PF,17.0,0.45399999999999996,0.325,0.485,0.526,0.8,1.5,2.3,0.4,0.6,0.3,0.5,1.3,3.1
SF,24.4,0.39799999999999996,0.345,0.45299999999999996,0.728,0.5,2.2,2.7,1.8,0.9,0.2,0.8,2.4,7.3
PG,31.4,0.42200000000000004,0.363,0.449,0.8340000000000001,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3
SF,19.9,0.355,0.29,0.449,0.7809999999999999,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2
SG,14.8,0.35600000000000004,0.324,0.409,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0
PG,8.0,0.27399999999999997,0.222,0.29100000000000004,0.8,0.6,1.0,1.6,0.9,0.2,0.0,0.5,0.6,1.8
SG,15.9,0.462,0.355,0.508,0.8390000000000001,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4
SF,14.7,0.447,0.324,0.515,0.857,0.7,2.2,2.8,1.0,0.6,0.2,0.6,1.2,4.2
PF,21.5,0.45,0.40399999999999997,0.467,0.726,1.1,3.6,4.7,0.9,0.6,0.4,0.9,2.3,8.7
PF,27.7,0.588,0.0,0.588,0.616,3.3,5.7,9.0,0.8,0.5,0.6,0.7,2.5,7.8
SG,36.9,0.45399999999999996,0.312,0.489,0.8320000000000001,1.2,4.2,5.3,4.8,1.6,0.6,2.0,1.9,20.9
SG,27.6,0.39899999999999997,0.358,0.42100000000000004,0.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8
PG,34.2,0.45299999999999996,0.37200000000000005,0.48200000000000004,0.802,0.6,3.5,4.0,6.1,2.0,0.6,3.5,2.4,20.4
SG,24.0,0.486,0.38,0.529,0.797,0.8,2.3,3.0,2.2,0.7,0.4,1.3,1.8,8.7
PG,31.5,0.44799999999999995,0.321,0.502,0.885,0.8,2.1,3.0,4.7,1.1,0.3,2.3,2.0,19.6
C,20.7,0.627,1.0,0.626,0.48,1.7,5.3,7.0,2.3,0.5,1.6,1.2,3.2,5.4
SG,10.1,0.397,0.38,0.40700000000000003,0.725,0.1,1.1,1.2,0.7,0.2,0.0,0.5,0.7,4.0
C,12.0,0.5,0.0,0.5,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.5,3.0,2.0
SF,17.9,0.45799999999999996,0.382,0.5539999999999999,0.667,0.2,1.5,1.7,0.8,0.4,0.2,0.6,1.7,5.5
C,33.7,0.511,0.14300000000000002,0.515,0.787,2.8,5.1,7.8,2.0,0.8,1.7,2.4,2.9,20.6
PF,23.9,0.473,0.29600000000000004,0.531,0.6679999999999999,2.0,4.5,6.5,1.6,0.8,0.7,0.8,2.0,9.2
SG,29.5,0.45399999999999996,0.37799999999999995,0.493,0.8390000000000001,0.4,2.2,2.6,1.7,1.1,0.4,0.9,1.7,9.6
SG,18.2,0.39899999999999997,0.337,0.46,0.848,0.6,1.8,2.5,1.4,0.8,0.1,0.8,1.5,9.7
SF,20.7,0.31,0.28600000000000003,0.33899999999999997,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4.0
SG,20.2,0.465,0.41,0.489,0.855,0.3,1.8,2.1,1.2,0.5,0.0,0.7,1.4,9.8
SF,22.8,0.501,0.4,0.52,0.703,1.2,1.9,3.1,0.9,0.8,0.3,0.7,2.0,11.0
PG,15.7,0.455,0.45,0.46,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8
PG,18.5,0.431,0.395,0.45299999999999996,0.743,0.2,1.3,1.5,2.1,0.8,0.0,1.3,1.5,5.9
SG,28.0,0.397,0.38,0.42,0.7190000000000001,0.7,2.8,3.5,1.3,0.5,0.3,1.0,2.4,9.8
SF,23.4,0.505,0.33899999999999997,0.589,0.626,0.7,3.8,4.5,1.4,1.1,0.5,0.9,1.5,6.4
C,23.3,0.485,0.0,0.485,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0
PF,6.0,0.5,0.0,0.5,0.5,0.4,1.0,1.4,0.1,0.0,0.5,0.4,0.5,1.0
SF,11.3,0.43,0.37799999999999995,0.447,0.6920000000000001,0.3,1.2,1.5,0.6,0.4,0.2,0.4,0.5,3.8
PF,32.1,0.479,0.326,0.52,0.752,1.8,5.0,6.8,0.8,0.5,1.9,1.4,2.7,12.6
PF,6.5,0.33299999999999996,0.278,0.467,0.857,0.0,0.4,0.4,0.5,0.1,0.0,0.3,0.7,2.1
C,13.3,0.596,0.0,0.596,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5
C,22.0,0.542,0.0,0.544,0.628,2.2,5.8,8.0,0.4,0.2,1.6,0.9,2.7,5.5
SF,35.6,0.52,0.309,0.573,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3
PG,34.2,0.504,0.45399999999999996,0.5660000000000001,0.9079999999999999,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1
SG,14.4,0.265,0.2,0.292,0.75,0.6,1.6,2.1,0.3,0.4,0.4,0.6,1.3,3.7
C,5.1,0.6,0.0,0.6,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9
C,14.7,0.5660000000000001,0.0,0.5660000000000001,0.746,1.3,3.0,4.3,0.5,0.3,0.8,0.9,1.8,5.8
